T,author_year,download_url,comments,formula,name,citation,fname
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_106-144nm(0.02nm).txt",The absorption spectra of NH,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_106-144nm(0.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_112.48-128.68nm(F-X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_112.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_112.66-116.76nm(P2).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_112.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_116.42-126.82nm(G-X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_116.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_117.26-132.96nm(E-X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_117.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_117.75-123.58nm(P1).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_117.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_122.15-143.34nm(D-X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_122.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_128.40-142.82nm(D%20II%20-%20X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_128.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_129.90-138.86nm(D%20III%20-%20X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_129.csv"
295.0,Wu(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Wu(2007)_295K_130.12-142.74nm(D%20I%20-%20X).txt",High-resolution (0.02 nm) absorption spectrum measured using synchrotron radiation,NH3,ammonia,"

  Y.-J. Wu, H.-C. Lu, H.-K. Chen, and B.-M. Cheng, ""Photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Wu(2007)_295K_130.csv"
298.0,Xia(1991),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Xia(1991)_298K_121.567nm.txt",High-resolution (0.08 and 0.007 nm) absorption measurements at 106-122 nm using synchrotron radiation (see Figs. 2 and 3),NH3,ammonia,"

  T.J. Xia, T.S. Chien, C.Y.R. Wu, and T.L. Judge, ""Photoabsorption and photoionization cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Xia(1991)_298K_121.csv"
